おきます	get up
あいだ	between, among
～や　～　など	and so on
いちばん	the most ~
～　だんめ	the -th self
チリソース	chili sauce
おく	the back
スパイス。コーナー	spice corner
have (a child)	います
and, furthermore	それから
かんたん	easy, simple
ちかい	near
とおい	far
おそい	slow, late
おおい、ひとがおおい	many (people) ,much
すくない、ひとがすくない	few (people), a little
あたたかい	warm
すずしい	cool
あまい	sweet
からい	hot (taste), spicy
おもい	heavy
かるい	light
いい	prefer (coffee)
きせつ	season
はる	spring
なつ	summer
あき	autumn, fall
ふゆ	winter
てんき	weather
あめ	rain, rainy
ゆき	snow, snowy
くもり	cloudy
ホテル	hotel
くうこう	airport
うみ	sea, ocean
せかい	world
パーティー	party
まつり	festival
しけん	examination
すきやき	sukiyaki (beef and vegetable hot pot)
さしみ	sashimi (sliced raw fish)
すし	sushi (vinegared rice tooped with raw fish)
てんぷら	tempura (seafood and vegitable deep fried in batter)
いけばな	flower arrangement
もみじ	maple, red leaves of autumn
どちら	which one (between two things)
どちらも	both
ずっと	by far
はじめて	for the first time
ただいま	I'm home
おかえりなさい	welcome home
すごいですね	that's amazing
でも	but
つかれました	(Im'm) tired
あそびます	enjoy oneself,chilling out
およぎます	swim
むかえます	go to meet, welcome
つかれます	get tired
だします	send
はいります	enter
でます	go out
けっこんします	marry
かいものします	do shopping
しょくじします	have a meal, dine
さんぽします	take a walk
たいへん	hard,tough,severe,awful
ほしい	want
さびしい	lonely
ひろい	wide,spacious
せまい	narrow,small
しやくしょ	municipal office
プール	swimming pool
かわ	river
けいざい	economy
びじゅつ	fine arts
つり	fishing
スキー	skiing
かいぎ	meeting, conference
とうろく	registeration
しゅうまつ	weekend
ごろ	about(time)
なにか	something
どこか	somewhere,some place
おなかが　すきました	(I'm) hungry
おなかが　いっぱいです	(I'm) full
のどが　かわきました	(I'm) thirsty
そうですね	I agree with you
そう　しましょう	let's do that
ごちゅうもん　は　？	may i take your order?
ていしょく	set meal
ぎゅうどん	bowl of rice topped with beef
「しょうしょう」　おまちください	[a moment] please wait
べつべつ	separately
つけます	turn on
けします	turn off
あけます	open
しめます	close, shut
